wordpress_id,slug,status,conversion_success,warning_count,warnings,unconverted_elements,body_image_count,internal_link_count,source_text_chars,markdown_text_chars,text_char_difference,text_char_difference_percent,manual_review_required
219,job-income-history,passed,true,0,,,1,0,4256,4256,0,0.00,false
215,job-change-construction,passed,true,0,,,0,0,3546,3545,-1,-0.03,false
201,tokyo-taxi-driver-quit-reason,warning,true,1,AFFINGER関連記事カードを通常リンクへ変換（Phase 4で表示確認済み）,,1,1,2802,2796,-6,-0.21,false
192,tokyo-taxi-oneday-record,passed,true,0,,,0,0,2743,2743,0,0.00,false
169,taxi-eigyo-style,passed,true,0,,,0,0,2680,2680,0,0.00,false
161,tokyo-taxi-nenshu-real,passed,true,0,,,0,0,3527,3527,0,0.00,false
153,taxi-buai-shikumi,passed,true,0,,,2,0,1760,1758,-2,-0.11,false
148,tokyo-taxi-driver-first-month,passed,true,0,,,0,0,2842,2842,0,0.00,false
142,taxi-driver-debt,passed,true,0,,,0,0,1980,1980,0,0.00,false
135,nagano-iju-hansei,passed,true,0,,,0,0,1920,1919,-1,-0.05,false
128,nagano-migration-rent,passed,true,0,,,0,0,2484,2483,-1,-0.04,false
117,ijyu-shienkin-failed,passed,true,0,,,3,0,2363,2355,-8,-0.34,false
107,first-job-9years,passed,true,0,,,0,0,1583,1582,-1,-0.06,false
101,bankruptcy-cancellation,passed,true,0,,,0,0,2418,2418,0,0.00,false
95,side-hustle-obsession,passed,true,0,,,0,0,1751,1751,0,0.00,false
90,debt-restructuring-failed,warning,true,1,WordPressで欠落していたmeta descriptionを本文から新規作成し、Phase 4で正式採用,,0,0,1713,1713,0,0.00,false
86,debt-swelling-4m,passed,true,0,,,0,0,1313,1313,0,0.00,false
81,first-debt-100k,passed,true,0,,,0,0,1290,1290,0,0.00,false
76,first-career-change,passed,true,0,,,0,0,1581,1581,0,0.00,false
