path,type,http_status,title_present,meta_description_present,h1_count,canonical,noindex_meta,x_robots_noindex,og_complete,twitter_card_complete,blogposting_jsonld,breadcrumb_jsonld,featured_image,body_image_count,internal_link_count,previous_link,next_link,category_links,content_comparison,status
"/","home","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/","true","true","true","true","not_applicable","not_applicable","not_applicable","not_applicable","119","not_applicable","not_applicable","not_applicable","not_applicable","passed"
"/articles/","archive","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/articles/","true","true","true","true","not_applicable","not_applicable","not_applicable","not_applicable","95","not_applicable","not_applicable","not_applicable","not_applicable","passed"
"/category/","category-index","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/category/","true","true","true","true","not_applicable","not_applicable","not_applicable","not_applicable","17","not_applicable","not_applicable","not_applicable","not_applicable","passed"
"/category/career/","category","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/category/career/","true","true","true","true","not_applicable","not_applicable","not_applicable","not_applicable","70","not_applicable","not_applicable","not_applicable","not_applicable","passed"
"/category/money/","category","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/category/money/","true","true","true","true","not_applicable","not_applicable","not_applicable","not_applicable","41","not_applicable","not_applicable","not_applicable","not_applicable","passed"
"/category/relocation/","category","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/category/relocation/","true","true","true","true","not_applicable","not_applicable","not_applicable","not_applicable","37","not_applicable","not_applicable","not_applicable","not_applicable","passed"
"/job-income-history/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/job-income-history/","true","true","true","true","true","true","true","1","40","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/job-change-construction/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/job-change-construction/","true","true","true","true","true","true","true","0","42","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/tokyo-taxi-driver-quit-reason/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/tokyo-taxi-driver-quit-reason/","true","true","true","true","true","true","true","1","42","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/tokyo-taxi-oneday-record/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/tokyo-taxi-oneday-record/","true","true","true","true","true","true","true","0","41","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/taxi-eigyo-style/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/taxi-eigyo-style/","true","true","true","true","true","true","true","0","41","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/tokyo-taxi-nenshu-real/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/tokyo-taxi-nenshu-real/","true","true","true","true","true","true","true","0","41","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/taxi-buai-shikumi/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/taxi-buai-shikumi/","true","true","true","true","true","true","true","2","41","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/tokyo-taxi-driver-first-month/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/tokyo-taxi-driver-first-month/","true","true","true","true","true","true","true","0","41","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/taxi-driver-debt/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/taxi-driver-debt/","true","true","true","true","true","true","true","0","42","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/nagano-iju-hansei/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/nagano-iju-hansei/","true","true","true","true","true","true","true","0","41","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/nagano-migration-rent/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/nagano-migration-rent/","true","true","true","true","true","true","true","0","41","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/ijyu-shienkin-failed/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/ijyu-shienkin-failed/","true","true","true","true","true","true","true","3","42","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/first-job-9years/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/first-job-9years/","true","true","true","true","true","true","true","0","41","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/bankruptcy-cancellation/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/bankruptcy-cancellation/","true","true","true","true","true","true","true","0","42","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/side-hustle-obsession/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/side-hustle-obsession/","true","true","true","true","true","true","true","0","42","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/debt-restructuring-failed/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/debt-restructuring-failed/","true","true","true","true","true","true","true","0","41","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/debt-swelling-4m/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/debt-swelling-4m/","true","true","true","true","true","true","true","0","41","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/first-debt-100k/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/first-debt-100k/","true","true","true","true","true","true","true","0","41","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/first-career-change/","article","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/first-career-change/","true","true","true","true","true","true","true","0","40","true","true","true","snapshot_matched_and_conversion_passed","passed"
"/お問い合わせ/","fixed-page","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/","true","true","true","true","not_applicable","not_applicable","not_applicable","not_applicable","14","not_applicable","not_applicable","not_applicable","snapshot_matched","passed"
"/privacy-policy-2/","fixed-page","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/privacy-policy-2/","true","true","true","true","not_applicable","not_applicable","not_applicable","not_applicable","14","not_applicable","not_applicable","not_applicable","snapshot_matched","passed"
"/プロフィール/","fixed-page","200","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB/","true","true","true","true","not_applicable","not_applicable","not_applicable","not_applicable","14","not_applicable","not_applicable","not_applicable","snapshot_matched","passed"
"/phase-4-known-missing/","404","404","true","true","1","https://personal-log-site-preview.cloudflare-migration-plan.workers.dev/404/","true","true","true","true","not_applicable","not_applicable","not_applicable","not_applicable","15","not_applicable","not_applicable","not_applicable","not_applicable","passed"
