wordpress_id,type,slug,same_slug,same_modified_gmt,same_content_hash,status
"219","post","job-income-history","true","true","true","matched"
"215","post","job-change-construction","true","true","true","matched"
"201","post","tokyo-taxi-driver-quit-reason","true","true","true","matched"
"192","post","tokyo-taxi-oneday-record","true","true","true","matched"
"169","post","taxi-eigyo-style","true","true","true","matched"
"161","post","tokyo-taxi-nenshu-real","true","true","true","matched"
"153","post","taxi-buai-shikumi","true","true","true","matched"
"148","post","tokyo-taxi-driver-first-month","true","true","true","matched"
"142","post","taxi-driver-debt","true","true","true","matched"
"135","post","nagano-iju-hansei","true","true","true","matched"
"128","post","nagano-migration-rent","true","true","true","matched"
"117","post","ijyu-shienkin-failed","true","true","true","matched"
"107","post","first-job-9years","true","true","true","matched"
"101","post","bankruptcy-cancellation","true","true","true","matched"
"95","post","side-hustle-obsession","true","true","true","matched"
"90","post","debt-restructuring-failed","true","true","true","matched"
"86","post","debt-swelling-4m","true","true","true","matched"
"81","post","first-debt-100k","true","true","true","matched"
"76","post","first-career-change","true","true","true","matched"
"67","page","%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b","true","true","true","matched"
"50","page","privacy-policy-2","true","true","true","matched"
"18","page","%e3%83%97%e3%83%ad%e3%83%95%e3%82%a3%e3%83%bc%e3%83%ab","true","true","true","matched"
